iter	Logloss
179	0.3388517284
180	0.338817034
181	0.3387783872
182	0.3387304949
183	0.3386878035
184	0.3386613424
185	0.3386245776
186	0.3385742913
187	0.3385340858
188	0.3384929688
189	0.3384725804
190	0.3384187656
191	0.3383915076
192	0.3383456387
193	0.3383148509
194	0.3382887761
195	0.3382651309
196	0.3382250839
197	0.338194943
198	0.338154139
199	0.3381166152
200	0.3380942794
201	0.3380565977
202	0.3380256917
203	0.3379974517
204	0.3379801468
205	0.3379458138
206	0.3379117715
207	0.3378723633
208	0.3378375905
209	0.3377899968
210	0.3377524218
211	0.3377114505
212	0.3376654068
213	0.3376363426
214	0.3376057209
215	0.3375691823
216	0.3375318811
217	0.3375009845
218	0.3374613474
219	0.3374328772
220	0.3374049003
221	0.3373776602
222	0.3373469517
223	0.3373188302
224	0.3372878589
225	0.3372680173
226	0.3372364793
227	0.3371958558
228	0.3371525565
229	0.3371256914
230	0.3371075978
231	0.3370744621
232	0.3370466514
233	0.3370218183
234	0.336968457
235	0.3369424419
236	0.3368967875
237	0.3368608617
238	0.3368309204
239	0.3368109359
240	0.3367831167
241	0.3367325141
242	0.3366961384
243	0.3366582725
244	0.3366255928
245	0.3365874448
246	0.3365546077
247	0.3365016509
248	0.33648044
249	0.3364583686
250	0.3364187028
251	0.3363838717
252	0.336342179
253	0.3363008339
254	0.3362644736
255	0.3362360342
256	0.3362000153
257	0.3361645585
258	0.3361244451
259	0.336096448
260	0.3360427089
261	0.3360044911
262	0.3359747503
263	0.3359334911
264	0.3359021576
265	0.3358599262
266	0.3358346228
267	0.3357929594
268	0.3357530032
269	0.3357337337
270	0.3356883687
271	0.3356527746
272	0.3356293648
273	0.3356034067
274	0.335577345
275	0.3355523685
276	0.3355336989
277	0.335499379
278	0.3354703109
279	0.3354375375
280	0.3354184953
281	0.3353854423
282	0.3353613757
283	0.3353410306
284	0.3353231926
285	0.3353026933
286	0.3352612262
287	0.3352440589
288	0.3352176983
289	0.3351782653
290	0.3351534031
291	0.3351109451
292	0.335081325
293	0.3350467491
294	0.3350120168
295	0.3349795579
296	0.3349523727
297	0.3349304847
298	0.3349054962
299	0.3348656045
300	0.3348420049
301	0.3348105992
302	0.3347695097
303	0.3347361871
304	0.3346824976
305	0.3346447646
306	0.3346234084
307	0.3346011541
308	0.3345676197
309	0.3345445719
310	0.3345182005
311	0.3344991782
312	0.3344672984
313	0.3344400636
314	0.3344198246
315	0.334392802
316	0.3343605908
317	0.334334002
318	0.3343049097
319	0.3342690356
320	0.3342426483
321	0.3342200581
322	0.3341905604
323	0.3341584334
324	0.33412576
325	0.3340998825
326	0.3340690619
327	0.3340359321
328	0.3340112348
329	0.3339884721
330	0.333967885
331	0.3339289078
332	0.333898517
333	0.333871236
334	0.3338448055
335	0.3338118857
336	0.3337939582
337	0.3337439861
338	0.3337043886
339	0.3336737702
340	0.3336500338
341	0.3336266079
342	0.3336042008
343	0.3335791983
344	0.3335588969
345	0.333533205
346	0.3335080288
347	0.3334812482
348	0.3334498179
349	0.3334150302
350	0.3333921652
351	0.333352193
352	0.3333233295
353	0.3332932083
354	0.3332671596
355	0.3332449767
356	0.3332088841
357	0.333178379
358	0.3331362582
359	0.3331127606
360	0.3330899929
361	0.3330641617
362	0.3330384151
363	0.3330044084
364	0.3329866945
365	0.3329478562
366	0.332928475
367	0.3329050203
368	0.3328760232
369	0.3328506825
370	0.3328277394
371	0.3328024455
372	0.3327815808
373	0.3327466673
374	0.3327193076
375	0.3326980116
376	0.3326629532
377	0.3326292216
378	0.3325947661
379	0.3325759294
380	0.3325416843
381	0.3325281969
382	0.3325004169
383	0.3324742425
384	0.3324432222
385	0.3324161066
386	0.3323862692
387	0.3323383145
388	0.332301954
389	0.3322833165
390	0.3322438469
391	0.3322208678
392	0.3321984158
393	0.3321680274
394	0.3321527696
395	0.3321303706
396	0.3320996185
397	0.3320827682
398	0.3320630687
399	0.3320380781
400	0.3320091224
401	0.3319795252
402	0.3319527419
403	0.3319305694
404	0.3319018525
405	0.3318794181
406	0.3318605966
407	0.3318431242
408	0.3318115751
409	0.3317901881
410	0.3317672639
411	0.3317325183
412	0.3317091755
413	0.3316803965
414	0.3316522532
415	0.3316258469
416	0.3315831615
417	0.3315539436
418	0.3315352249
419	0.3314949115
420	0.3314525769
421	0.3314324203
422	0.3313970299
423	0.3313643667
424	0.3313322574
425	0.3313015749
426	0.331274273
427	0.3312484911
428	0.3312070106
429	0.3311853627
430	0.3311548678
431	0.3311191636
432	0.331090022
433	0.3310727543
434	0.3310344967
435	0.331013541
436	0.3309853411
437	0.3309656003
438	0.3309230389
439	0.330900268
440	0.3308730225
441	0.3308335734
442	0.3308131099
443	0.3307773062
444	0.3307574142
445	0.3307309734
446	0.330715175
447	0.3306885491
448	0.3306613478
449	0.3306403096
450	0.3306104534
451	0.3305806858
452	0.3305500409
453	0.3305194948
454	0.3304903283
455	0.3304617872
456	0.330440369
457	0.3304137964
458	0.3303816413
459	0.3303627269
460	0.3303346502
461	0.3303049825
462	0.3302809125
463	0.3302547102
464	0.3302300757
465	0.3302155296
466	0.3301901479
467	0.3301585197
468	0.3301390286
469	0.3301123374
470	0.3300791009
471	0.330044349
472	0.3300146282
473	0.3299941081
474	0.3299691428
475	0.3299438503
476	0.3299093224
477	0.3298855882
478	0.3298660805
479	0.3298466862
480	0.3298178063
481	0.3297894292
482	0.3297511548
483	0.32971843
484	0.3296923982
485	0.3296744787
486	0.3296532407
487	0.3296220912
488	0.3295987861
489	0.3295839906
490	0.3295578201
491	0.329521609
492	0.3295068532
493	0.3294687408
494	0.3294355429
495	0.3294108237
496	0.3293805717
497	0.3293570708
498	0.3293239608
499	0.3293013785
