iter	Logloss
0	0.6074442976
1	0.5479237792
2	0.5004102009
3	0.4661868951
4	0.4392765841
5	0.4192586711
6	0.4052168073
7	0.3940922429
8	0.3851369124
9	0.3778380271
10	0.3723509888
11	0.3682068119
12	0.3652031071
13	0.3623821154
14	0.3598502209
15	0.3573996551
16	0.3556020158
17	0.3540725729
18	0.3530315571
19	0.3521087122
20	0.3512367309
21	0.3503566678
22	0.3497407678
23	0.3492693368
24	0.3487069231
25	0.3483229821
26	0.3480370934
27	0.3478152379
28	0.3475014641
29	0.34717635
30	0.3469690508
31	0.3467358186
32	0.3465429248
33	0.3463143823
34	0.3461643923
35	0.346038774
36	0.3459391998
37	0.3457374861
38	0.3455610083
39	0.3454598412
40	0.3453581236
41	0.3452895149
42	0.3452099967
43	0.3451325365
44	0.3450710794
45	0.344952208
46	0.3448468601
47	0.344699186
48	0.3446030862
49	0.3445370474
50	0.3444562819
51	0.3443787193
52	0.3442849703
53	0.3442640784
54	0.3441698068
55	0.3441092575
56	0.344069764
57	0.3440040467
58	0.3439626923
59	0.3438990311
60	0.3438379266
61	0.3437798942
62	0.3437206481
63	0.3436577122
64	0.3435966732
65	0.3435380766
66	0.3434696828
67	0.3434061753
68	0.3433534568
69	0.3433042281
70	0.3432489162
71	0.3432009553
72	0.343149919
73	0.3430991822
74	0.3430300078
75	0.3429772553
76	0.342939837
77	0.3429036403
78	0.3428557901
79	0.3428187687
80	0.3427891097
81	0.3427300381
82	0.3426861994
83	0.3426542514
84	0.3426217591
85	0.3425596825
86	0.3425047461
87	0.342474279
88	0.3424471064
89	0.3424076853
90	0.3423660582
91	0.3423196429
92	0.3422847411
93	0.3422479371
94	0.3421959868
95	0.3421707619
96	0.3421381299
97	0.3420929577
98	0.3420556667
99	0.34203526
100	0.3419880211
101	0.3419400609
102	0.3419085205
103	0.3418736506
104	0.3418322181
105	0.3417894906
106	0.3417451544
107	0.3416947826
108	0.3416600995
109	0.3416120797
110	0.341567622
111	0.3415100251
112	0.341482403
113	0.3414105874
114	0.3413704959
115	0.3413048963
116	0.3412591602
117	0.3412269163
118	0.3411926741
119	0.3411731418
120	0.3411421942
121	0.3411102516
122	0.341068771
123	0.3410377661
124	0.3410061133
125	0.340966482
126	0.3409272197
127	0.3408963913
128	0.3408478005
129	0.3408015223
130	0.3407418234
131	0.3406957059
132	0.3406574161
133	0.3405998811
134	0.3405604075
135	0.3405115729
136	0.3404799134
137	0.3404448894
138	0.3404029459
139	0.3403477544
140	0.3403212784
141	0.3402799025
142	0.340231932
143	0.3401936855
144	0.3401616189
145	0.3401375632
146	0.3401002483
147	0.340076483
148	0.3400307856
149	0.3399932927
150	0.3399577724
151	0.3399157599
152	0.3398736259
153	0.3398458468
154	0.3398023021
155	0.3397571074
156	0.339717136
157	0.3396878296
158	0.3396592832
159	0.3396106007
160	0.3395634727
161	0.3395376545
162	0.33950028
163	0.3394633825
164	0.3394342045
165	0.3393879124
166	0.3393378371
167	0.3393061803
168	0.3392619301
169	0.3392204197
170	0.3391806536
171	0.3391396078
172	0.3391024369
173	0.3390710761
174	0.3390244347
175	0.3389923776
176	0.3389634424
177	0.3389257037
178	0.338891311
